# Constructed from biom file
# OTU ID	LSU_rRNA	taxonomy	taxid
16965	187.0	sk__Archaea	2157
12384	1.0	sk__Archaea;k__;p__Candidatus_Aenigmarchaeota	743724
12623	5.0	sk__Archaea;k__;p__Candidatus_Altiarchaeota;c__;o__Candidatus_Altiarchaeales	1803511
31679	12.0	sk__Archaea;k__;p__Candidatus_Bathyarchaeota	928852
18450	11.0	sk__Archaea;k__;p__Candidatus_Bathyarchaeota;c__;o__;f__;g__;s__Candidatus_Bathyarchaeota_archaeon_TCS64	1781242
35124	11.0	sk__Archaea;k__;p__Candidatus_Diapherotrites	743725
37036	1.0	sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__;s__Candidatus_Diapherotrites_archaeon_ADurb.Bin253	1852841
31402	1.0	sk__Archaea;k__;p__Candidatus_Heimdallarchaeota	1936272
28700	1.0	sk__Archaea;k__;p__Candidatus_Heimdallarchaeota;c__;o__;f__;g__;s__Candidatus_Heimdallarchaeota_archaeon_AB_125	1841596
32918	2.0	sk__Archaea;k__;p__Candidatus_Lokiarchaeota	1655434
14092	7.0	sk__Archaea;k__;p__Candidatus_Lokiarchaeota;c__;o__;f__;g__Lokiarchaeum	1655637
8631	3.0	sk__Archaea;k__;p__Candidatus_Lokiarchaeota;c__;o__;f__;g__Lokiarchaeum;s__Lokiarchaeum_sp._GC14_75	1538547
10688	41.0	sk__Archaea;k__;p__Crenarchaeota	28889
3026	12.0	sk__Archaea;k__;p__Euryarchaeota	28890
15935	2.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	2158
21941	3.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	2159
14098	3.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	2172
18634	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus	45989
34704	2.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	2207
